year,month,date,region,cause,deaths,farm_size_acres,avg_income_monthly
2000,1,2000-01-01,North,Suicide,6,4.5,134
2000,1,2000-01-01,North,Poor Crop Growth,5,9.9,204
2000,1,2000-01-01,North,Malnutrition,4,3.1,199
2000,1,2000-01-01,North,Pesticide Exposure,1,21.0,344
2000,1,2000-01-01,North,Debt,5,9.0,256
2000,1,2000-01-01,North,Accident,2,7.5,178
2000,1,2000-01-01,North,Illness (Non-agri),3,0.5,163
2000,1,2000-01-01,North,Other,0,4.8,268
2000,1,2000-01-01,South,Suicide,9,9.0,120
2000,1,2000-01-01,South,Poor Crop Growth,4,13.4,94
2000,1,2000-01-01,South,Malnutrition,1,15.8,200
2000,1,2000-01-01,South,Pesticide Exposure,3,12.5,155
2000,1,2000-01-01,South,Debt,4,5.4,344
2000,1,2000-01-01,South,Accident,4,12.3,296
2000,1,2000-01-01,South,Illness (Non-agri),2,10.9,408
2000,1,2000-01-01,South,Other,2,11.8,117
2000,1,2000-01-01,East,Suicide,6,6.8,115
2000,1,2000-01-01,East,Poor Crop Growth,4,6.0,98
2000,1,2000-01-01,East,Malnutrition,1,12.3,121
2000,1,2000-01-01,East,Pesticide Exposure,0,14.3,187
2000,1,2000-01-01,East,Debt,2,13.1,242
2000,1,2000-01-01,East,Accident,0,16.4,149
2000,1,2000-01-01,East,Illness (Non-agri),1,5.3,313
2000,1,2000-01-01,East,Other,0,14.5,329
2000,1,2000-01-01,West,Suicide,6,15.3,134
2000,1,2000-01-01,West,Poor Crop Growth,1,16.3,167
2000,1,2000-01-01,West,Malnutrition,1,3.0,235
2000,1,2000-01-01,West,Pesticide Exposure,1,21.2,195
2000,1,2000-01-01,West,Debt,2,10.6,168
2000,1,2000-01-01,West,Accident,0,5.6,139
2000,1,2000-01-01,West,Illness (Non-agri),2,3.4,87
2000,1,2000-01-01,West,Other,0,10.4,329
2000,1,2000-01-01,Central,Suicide,6,5.1,81
2000,1,2000-01-01,Central,Poor Crop Growth,3,8.4,311
2000,1,2000-01-01,Central,Malnutrition,4,11.2,117
2000,1,2000-01-01,Central,Pesticide Exposure,2,5.9,140
2000,1,2000-01-01,Central,Debt,3,13.0,221
2000,1,2000-01-01,Central,Accident,2,9.8,401
2000,1,2000-01-01,Central,Illness (Non-agri),1,11.7,216
2000,1,2000-01-01,Central,Other,0,12.4,235
2000,2,2000-02-01,North,Suicide,10,8.6,199
2000,2,2000-02-01,North,Poor Crop Growth,7,22.0,341
2000,2,2000-02-01,North,Malnutrition,4,11.5,271
2000,2,2000-02-01,North,Pesticide Exposure,3,8.9,50
2000,2,2000-02-01,North,Debt,6,12.7,176
2000,2,2000-02-01,North,Accident,5,3.9,50
2000,2,2000-02-01,North,Illness (Non-agri),3,17.0,242
2000,2,2000-02-01,North,Other,3,12.6,139
2000,2,2000-02-01,South,Suicide,3,17.5,199
2000,2,2000-02-01,South,Poor Crop Growth,3,16.4,331
2000,2,2000-02-01,South,Malnutrition,3,10.6,187
2000,2,2000-02-01,South,Pesticide Exposure,0,11.3,188
2000,2,2000-02-01,South,Debt,3,13.6,271
2000,2,2000-02-01,South,Accident,0,8.6,182
2000,2,2000-02-01,South,Illness (Non-agri),1,14.6,307
2000,2,2000-02-01,South,Other,0,7.7,108
2000,2,2000-02-01,East,Suicide,3,14.6,126
2000,2,2000-02-01,East,Poor Crop Growth,3,5.6,241
2000,2,2000-02-01,East,Malnutrition,2,8.4,120
2000,2,2000-02-01,East,Pesticide Exposure,1,9.2,178
2000,2,2000-02-01,East,Debt,2,6.4,220
2000,2,2000-02-01,East,Accident,2,13.4,281
2000,2,2000-02-01,East,Illness (Non-agri),0,3.6,208
2000,2,2000-02-01,East,Other,0,10.4,50
2000,2,2000-02-01,West,Suicide,5,14.0,280
2000,2,2000-02-01,West,Poor Crop Growth,3,9.6,169
2000,2,2000-02-01,West,Malnutrition,-1,6.1,228
2000,2,2000-02-01,West,Pesticide Exposure,2,17.7,348
2000,2,2000-02-01,West,Debt,2,10.1,164
2000,2,2000-02-01,West,Accident,3,9.6,284
2000,2,2000-02-01,West,Illness (Non-agri),2,14.9,245
2000,2,2000-02-01,West,Other,3,7.1,236
2000,2,2000-02-01,Central,Suicide,6,7.3,140
2000,2,2000-02-01,Central,Poor Crop Growth,5,12.8,153
2000,2,2000-02-01,Central,Malnutrition,3,11.4,202
2000,2,2000-02-01,Central,Pesticide Exposure,3,7.3,107
2000,2,2000-02-01,Central,Debt,4,21.1,137
2000,2,2000-02-01,Central,Accident,0,11.2,187
2000,2,2000-02-01,Central,Illness (Non-agri),3,10.0,75
2000,2,2000-02-01,Central,Other,2,5.6,95
2000,3,2000-03-01,North,Suicide,5,2.3,141
2000,3,2000-03-01,North,Poor Crop Growth,4,15.9,246
